Step,New Cells,Rate (%)
276,114,98.987109375
277,134,99.01328124999999
278,141,99.0408203125
279,135,99.0671875
280,122,99.091015625
281,113,99.1130859375
282,102,99.1330078125
283,101,99.152734375
284,100,99.172265625
285,115,99.19472656250001
286,122,99.2185546875
287,118,99.24160156250001
288,98,99.2607421875
289,98,99.27988281249999
290,90,99.2974609375
291,87,99.314453125
292,82,99.33046875
293,80,99.34609375
294,70,99.359765625
295,89,99.3771484375
296,71,99.391015625
297,85,99.4076171875
298,80,99.42324218750001
299,76,99.43808593749999
300,60,99.4498046875
301,54,99.46035156250001
302,60,99.47207031250001
303,55,99.4828125
304,55,99.4935546875
305,55,99.504296875
